Study ID,S Incu No,Incubator type,Set Incu temp,Measured incu temp1,Measured incu temp2,Measured incu temp3,Measured incu temp4,Measured incu temp5,Measured incu temp6,Measured incu temp7,Measured incu temp8,Measured incu temp9,Measured incu temp10,Measured incu temp11,Measured incu temp12,Measured incu temp13,Measured incu temp14,Measured incu temp15,Measured incu temp16,Measured incu temp17,Measured incu temp18,Measured incu temp19,Measured incu temp20
221,AV,1,77,32.7,32.5,33.4,33.2,33,33.2,32.7,33.2,33.1,33.3,32.7,32.8,32.9,33.3,33,33.3,33,32.8,32.9,33
222,AX,1,77,32.2,32.4,32.1,32.3,31.9,31.8,32.4,32.5,32.4,32.4,32.4,32.2,32.5,32,32.5,32.4,32.4,32.1,32.8,31.9
223,BV,2,47,34.7,34.8,34.3,34.2,34.4,34.3,34.7,34.8,35.1,34.7,34.6,34.7,34.8,34.7,34.3,34.2,34.4,34.5,34.7,34.6
224,BX,2,74,33.2,33.3,33.4,33.4,33.2,33.3,33.5,33.6,33.8,33.8,33.6,33.4,33.3,33.4,33.5,33.7,33.4,33.5,33.8,33.4
225,AY,1,48,33.3,33.4,33.6,33.9,33.3,33.4,33.7,33.7,33.9,34,33.4,33.2,33.4,33.9,33.7,33.9,33.7,33.9,33.7,33.7
226,BY,2,73,33.6,33.5,33.7,33.3,33.5,33.4,33.4,33.5,33.5,33.4,33.3,33.1,33.6,33.5,33.4,33.5,33.5,33.5,33.5,33.6
227,BBB,2,67,34.7,34.8,34.4,34.3,34.5,34.6,34.9,34.7,34.4,34.3,34.9,34.6,34.7,34.7,34.6,34.7,34.4,34.3,34.9,34.8
228,AAB,1,55,32.9,33,32.9,32.9,32.9,32.7,33,32.5,33,32.9,32.9,32.6,33.3,32.7,32.9,32.6,32.8,32.4,32.3,32.9
229,BBC,2,47,34.1,34.2,34.3,34.2,33.8,33.7,33.9,34,34.2,34.1,34.2,34.3,33.8,33.7,33.9,33.8,34.2,34.3,34.6,34.2
230,AAC,1,45,32.8,32.9,33.1,33.3,32.9,33,33.2,33.2,33.1,33,32.8,32.8,32.9,33,33.2,33.4,33.2,33.4,32.9,33.1
231,AAD,1,54,33.2,33.4,33.5,32.9,32.7,32.9,33.4,33.2,33.4,33.2,33.4,33.2,33.2,32.8,32.9,33.1,33.4,32.8,32.9,33.2
232,BBD,2,44,33.9,34,34.1,34.2,34.3,33.9,33.9,34.1,33.9,34,34.3,34,34,33.9,33.7,34.3,34.4,34.4,34,33.9
233,AAG,1,67,34,33.9,33.9,33.8,33.6,33.9,34.1,34.1,34.2,33.9,34,34.1,33.9,33.6,34,34.2,33.5,34.4,34.2,34.3
234,BBF,2,44,34.7,34.6,34.7,34.8,34.3,34.2,34.4,34.3,34.7,34.8,35.4,34.7,34.6,34.7,34.8,34.7,34.3,34.2,34.4,34.5
235,AAI,1,77,32.8,32.8,32.9,33,33.2,33.4,33.2,33.4,32.9,33.1,32.8,32.9,33.1,33.3,32.9,33,33.2,33.2,33.1,33
236,BBI,2,80,32.8,32.7,33.4,33.4,33.3,33.2,33,33,32.9,33.6,33.5,33.7,33.9,33.7,33.9,33.4,33.4,33.9,33.6,33.7
237,BBK,2,26,34.4,34,34.5,34.7,34.3,34.4,34.7,34.7,34.5,34.7,34.4,34.2,34.4,34.3,34.7,34.6,34.4,34.3,34.4,34.7
238,AAJ,1,40,33.1,33.3,33.7,33.4,33.6,32.9,32.8,33.4,33.3,33.1,33.4,33.1,33.3,33.5,32.9,32.8,33.3,33.3,33.1,33.5
239,BBL,2,73,34.9,34.8,35.1,35.2,34.9,34.8,35.2,35.2,35,35.2,34.9,34.8,35.2,35.4,34.8,34.7,34.9,34.6,34.9,35
240,AAL,1,76,33.1,32.9,32.9,32.7,33.3,33.4,33.3,33.2,33,33,32.9,32.8,33.3,32.8,32.7,33,33.2,33.2,32.8,32.9
241,BBM,2,74,33.9,34.1,33.7,34.3,33.9,34.3,33.9,33.8,33.7,34.2,34.2,33.7,34.3,34.4,33.9,33.7,33.8,34,33.8,34
242,AAM,1,68,34.1,34.3,34.2,34,33.9,34.2,34.2,34.2,34,34.1,33.9,33.8,33.9,33.9,34.2,34.2,34,33.9,33.8,34
243,BBN,2,68,34.7,34.7,34.7,35,34.4,34.3,34.7,34.7,34.6,34.5,34.7,34.7,34.8,34.4,34.2,34.4,34.5,34.7,34.6,33.9
244,AAN,1,68,32.5,32.5,32.8,32.6,32.3,32.2,32.4,32.7,32.2,32.2,32.7,32.6,32.4,32.4,32.2,32.6,32.4,32.2,32.5,32.4
245,AAO,1,43,32.9,32.8,32.7,32.5,32.5,32.4,33.1,33,33.3,33.1,33.6,33.6,33.6,33.2,33,32.9,33.2,33.2,33.4,33.3
246,AAV,1,71,33.1,32.8,32.7,32.9,33.2,32.7,32.7,33.2,33.1,32.9,32.9,33.1,32.9,33,33.3,33,33,32.9,32.7,33.3
247,BBT,2,71,34.4,34,34,33.7,33.8,33.7,33.8,33.9,34,34.1,33.9,33.8,33.8,34.1,34.3,34,33.8,34.3,34,34.4
248,BBV,2,27.5,33.8,33.9,34,34.2,34.1,34.2,34.3,33.8,33.7,34.2,34.1,34.2,34.3,33.8,33.7,33.9,33.8,34.2,34.3,34.1
