Study ID,S Incu No,Incubator type,Set Incu temp,Room humidity1,Room humidity2,Room humidity3,Room humidity4,Room humidity5,Room humidity6,Room humidity7,Room humidity8,Room humidity9,Room humidity10,Room humidity11,Room humidity12,Room humidity13,Room humidity14,Room humidity15,Room humidity16,Room humidity17,Room humidity18,Room humidity19,Room humidity20
216,AQ,1,33.5,34,40,31,43,40,40,42,42,42,43,76,70,71,74,75,75,79,77,78,79
217,BT,2,33.5,66,67,54,59,70,65,58,70,65,58,77,78,75,74,75,74,69,77,78,79
218,AS,1,33,46,44,40,37,36,40,39,47,37,36,57,46,48,47,46,54,46,42,70,49
219,BU,2,33,65,65,67,60,62,60,62,55,56,48,41,43,46,41,41,45,39,48,50,47
220,AU,1,32.5,65,65,64,52,66,72,50,50,42,69,77,82,81,79,79,74,71,71,78,77
221,AV,1,33,45,43,44,37,37,40,37,47,49,38,77,82,80,79,77,75,70,75,80,77
222,AX,1,32,60,68,67,60,48,61,67,50,54,66,76,77,74,74,66,72,77,70,76,77
223,BV,2,34.5,65,65,64,68,66,72,60,71,69,69,46,45,44,47,47,47,47,49,48,47
224,BX,2,33.5,49,40,39,30,47,30,47,44,37,38,79,77,76,79,69,72,77,80,76,74
225,AY,1,33.5,60,68,67,67,60,60,50,46,66,71,46,45,44,41,47,50,45,50,45,48
226,BY,2,33.5,50,40,39,40,47,44,36,38,39,38,58,68,64,69,66,45,71,71,70,73
227,BBB,2,34.5,55,41,40,51,40,51,46,39,41,40,67,73,73,69,70,75,76,73,71,67
228,AAB,1,32.5,55,76,77,76,77,73,83,77,81,72,76,79,65,55,53,56,52,55,55,55
229,BBC,2,34,67,76,77,76,77,73,72,77,81,72,74,79,50,50,50,49,49,47,52,47
230,AAC,1,33,99,78,75,76,73,72,72,75,74,78,68,68,49,46,46,45,47,54,46,45
231,AAD,1,33,99,78,78,77,73,72,72,76,74,78,68,70,49,47,50,49,46,46,48,54
232,BBD,2,34,99,78,78,77,74,72,72,75,74,78,68,68,46,45,58,46,48,44,45,44
233,AAG,1,34,45,45,46,46,45,47,43,42,49,42,43,46,67,67,69,57,57,53,66,67
234,BBF,2,34.5,72,74,75,73,75,77,75,76,73,72,71,74,53,47,46,48,57,53,47,44
235,AAI,1,33,73,74,75,72,75,77,74,59,73,72,71,74,74,76,67,68,72,74,75,77
236,BBI,2,33.5,57,46,48,47,46,54,54,56,71,49,47,49,82,82,83,73,63,68,79,80
237,BBK,2,34.5,46,48,49,47,40,43,38,54,49,30,47,51,51,47,53,45,44,45,26,26
238,AAJ,1,33,45,49,59,43,30,30,50,45,45,40,49,32,50,47,46,42,54,66,44,40
239,BBL,2,35,47,49,52,47,39,49,50,45,45,40,44,47,77,67,67,76,77,76,77,73
240,AAL,1,33,49,49,50,42,41,42,40,45,36,35,39,35,76,77,73,83,77,81,72,76
241,BBM,2,34,50,62,59,48,45,60,42,49,45,45,44,42,76,77,73,72,77,81,72,74
242,AAM,1,34,45,40,46,41,40,45,39,40,49,42,40,46,76,73,72,72,75,74,78,68
243,BBN,2,34.5,45,40,46,41,40,45,28,41,49,49,42,40,77,73,72,72,76,74,78,68
244,AAN,1,32.5,39,41,50,41,43,45,42,40,40,60,42,38,77,74,72,72,75,74,78,68
245,AAO,1,33,40,40,41,41,42,40,42,42,43,41,41,40,46,45,47,43,42,49,42,43
246,AAV,1,33,40,43,54,55,41,47,41,41,45,41,50,38,73,75,77,75,76,73,72,71
247,BBT,2,34,40,41,48,52,42,41,42,41,60,45,41,45,72,75,77,74,59,73,72,71
248,BBV,2,34,48,37,39,37,35,35,36,34,36,35,34,47,46,54,54,56,71,49,47,27

